,delta,tau,fname
5250,-7.796465602378377,50,SHM
5251,-7.840311606707314,51,SHM
5252,-7.884781806574456,52,SHM
5253,-7.888086565405043,53,SHM
5254,-7.956599833140521,54,SHM
5255,-7.972397422199038,55,SHM
5256,-7.99258943646031,56,SHM
5257,-7.9937290788860125,57,SHM
5258,-8.04893133092703,58,SHM
5259,-8.056319578601652,59,SHM
5260,-8.087952215902433,60,SHM
5261,-8.106925463483952,61,SHM
5262,-8.152926850303418,62,SHM
5263,-8.191578902173552,63,SHM
5264,-8.201857170077059,64,SHM
5265,-8.212149334589151,65,SHM
5266,-8.226330412712263,66,SHM
5267,-8.308093775215621,67,SHM
5268,-8.342065007231906,68,SHM
5269,-8.342861059976551,69,SHM
5270,-8.346663275712674,70,SHM
5271,-8.347154531655004,71,SHM
5272,-8.400557500512647,72,SHM
5273,-8.408364627268224,73,SHM
5274,-8.412852429164609,74,SHM
5275,-8.41978279654105,75,SHM
5276,-8.470133891534239,76,SHM
5277,-8.474897599356161,77,SHM
5278,-8.513593679476031,78,SHM
5279,-8.520891935102863,79,SHM
5280,-8.537179081125338,80,SHM
5281,-8.547335213083974,81,SHM
5282,-8.551034829742918,82,SHM
5283,-8.594994619362083,83,SHM
5284,-8.65297709725415,84,SHM
5285,-8.65394803581954,85,SHM
5286,-8.685178185695964,86,SHM
5287,-8.692727173157191,87,SHM
5288,-8.793899104451159,88,SHM
5289,-8.832887471279175,89,SHM
5290,-8.889190536030629,90,SHM
5291,-8.893702583026537,91,SHM
5292,-9.03655720751039,92,SHM
5293,-9.039997814200678,93,SHM
5294,-9.060770772166919,94,SHM
5295,-9.091683205847545,95,SHM
5296,-9.127350242723464,96,SHM
5297,-9.2778524830927,97,SHM
5298,-9.295575446314166,98,SHM
5299,-9.342885054963507,99,SHM
5300,-1.2891551851523653,0,SKF
5301,-1.9583011635008682,1,SKF
5302,-2.095486108839071,2,SKF
5303,-2.29482407612893,3,SKF
5304,-2.4896549402870103,4,SKF
5305,-2.706415260414331,5,SKF
5306,-2.868680194837958,6,SKF
5307,-3.119589410105863,7,SKF
5308,-3.465114472866113,8,SKF
5309,-3.867012560765507,9,SKF
5310,-4.383406826575543,10,SKF
5311,-5.046030027022757,11,SKF
5312,-5.4482961630665425,12,SKF
5313,-5.474367638502719,13,SKF
5314,-5.625158649212864,14,SKF
5315,-5.797113905489771,15,SKF
5316,-6.120966096277878,16,SKF
5317,-6.475609585564726,17,SKF
5318,-6.5054477158162465,18,SKF
5319,-6.6986341598813635,19,SKF
5320,-6.698746193093315,20,SKF
5321,-6.7148972908679605,21,SKF
5322,-6.8928505927515396,22,SKF
5323,-6.983566345011887,23,SKF
5324,-7.182355887531483,24,SKF
5325,-7.299857113430962,25,SKF
5326,-7.321114108644897,26,SKF
5327,-7.4254759322644315,27,SKF
5328,-7.590712173651821,28,SKF
5329,-7.633058227112992,29,SKF
5330,-7.672773412234315,30,SKF
5331,-7.696485085323204,31,SKF
5332,-7.866841053010406,32,SKF
5333,-8.164174296833428,33,SKF
5334,-8.166124534771665,34,SKF
5335,-8.196821594577,35,SKF
5336,-8.291750535965063,36,SKF
5337,-8.431819376284292,37,SKF
5338,-8.441548891071303,38,SKF
5339,-8.481788048103553,39,SKF
5340,-8.644811122553772,40,SKF
5341,-8.707680060841415,41,SKF
5342,-8.766739430360953,42,SKF
5343,-8.769079705897687,43,SKF
5344,-8.805493127062624,44,SKF
5345,-8.817067317989705,45,SKF
5346,-8.951946826511156,46,SKF
5347,-8.99744589602841,47,SKF
5348,-9.030381717239539,48,SKF
5349,-9.03262183188028,49,SKF
5350,-9.064179084638916,50,SKF
5351,-9.086643463012987,51,SKF
5352,-9.090969110519278,52,SKF
5353,-9.102037081606356,53,SKF
5354,-9.112037397541744,54,SKF
5355,-9.138825687702576,55,SKF
5356,-9.170815892285479,56,SKF
5357,-9.23745556996692,57,SKF
5358,-9.243815736808592,58,SKF
5359,-9.249794161142006,59,SKF
5360,-9.265622232899437,60,SKF
5361,-9.292903018633126,61,SKF
5362,-9.29399228272487,62,SKF
5363,-9.301569708963848,63,SKF
5364,-9.304283343188196,64,SKF
5365,-9.307902021331296,65,SKF
5366,-9.309171130866122,66,SKF
5367,-9.327943892454165,67,SKF
5368,-9.328693055195352,68,SKF
5369,-9.424240113112853,69,SKF
5370,-9.424456963238757,70,SKF
5371,-9.444049407196493,71,SKF
5372,-9.445141040419577,72,SKF
5373,-9.482984238225674,73,SKF
5374,-9.491692581915313,74,SKF
5375,-9.512639849741788,75,SKF
5376,-9.558287566131193,76,SKF
5377,-9.563247865929092,77,SKF
5378,-9.660742630889812,78,SKF
5379,-9.667608482352186,79,SKF
5380,-9.683689730703739,80,SKF
5381,-9.686528385911505,81,SKF
5382,-9.758530834328258,82,SKF
5383,-9.760945931483054,83,SKF
5384,-9.768038518516237,84,SKF
5385,-9.790601707576071,85,SKF
5386,-9.801444382871901,86,SKF
5387,-9.807322944791677,87,SKF
5388,-9.851930963840745,88,SKF
5389,-9.864370868834637,89,SKF
5390,-9.935307262973058,90,SKF
5391,-9.935561570593347,91,SKF
5392,-9.99202098342032,92,SKF
5393,-10.022041793578087,93,SKF
5394,-10.09997812858504,94,SKF
5395,-10.143884184225769,95,SKF
5396,-10.15430682657078,96,SKF
5397,-10.162712548454529,97,SKF
5398,-10.200637631116079,98,SKF
5399,-10.262317756008185,99,SKF
5400,-0.628978614072438,0,D2A
5401,-1.9517437449620487,1,D2A
5402,-2.2821454059475093,2,D2A
5403,-2.8615457901673036,3,D2A
5404,-3.214539195068054,4,D2A
5405,-3.4625837960327237,5,D2A
5406,-3.7379117859558613,6,D2A
5407,-4.020537823627899,7,D2A
5408,-4.233078077849058,8,D2A
5409,-4.545878327245773,9,D2A
5410,-5.022852551928025,10,D2A
5411,-5.628885004506444,11,D2A
5412,-6.0928004127154285,12,D2A
5413,-6.095364693169239,13,D2A
5414,-6.244360295589739,14,D2A
5415,-6.632109854832081,15,D2A
5416,-7.0123366356360854,16,D2A
5417,-7.188625674358352,17,D2A
5418,-7.238362795062083,18,D2A
5419,-7.626770665388752,19,D2A
5420,-7.634146391426279,20,D2A
5421,-7.688480905730391,21,D2A
5422,-7.912293379501374,22,D2A
5423,-7.942267411427189,23,D2A
5424,-8.055141606533658,24,D2A
5425,-8.151216849858258,25,D2A
5426,-8.383311808840473,26,D2A
5427,-8.493476317240095,27,D2A
5428,-8.56746334467834,28,D2A
5429,-8.731350123780569,29,D2A
5430,-8.841201730011903,30,D2A
5431,-8.885347768107719,31,D2A
5432,-8.894468762064557,32,D2A
5433,-9.116765842868999,33,D2A
5434,-9.1666896648969,34,D2A
5435,-9.252880700759896,35,D2A
5436,-9.253320162198404,36,D2A
5437,-9.270882908677386,37,D2A
5438,-9.357763298623507,38,D2A
5439,-9.364498003999175,39,D2A
5440,-9.427611996103858,40,D2A
5441,-9.446001410877393,41,D2A
5442,-9.553711382085085,42,D2A
5443,-9.556858745845243,43,D2A
5444,-9.613378570441885,44,D2A
5445,-9.658881089926684,45,D2A
5446,-9.700161101836994,46,D2A
5447,-9.700676030211975,47,D2A
5448,-9.71524169310476,48,D2A
5449,-9.72464462414844,49,D2A
5450,-9.748102228821942,50,D2A
5451,-9.847780058174957,51,D2A
5452,-9.849355451631666,52,D2A
5453,-9.930111394084857,53,D2A
5454,-9.94063372332543,54,D2A
5455,-9.989557551786936,55,D2A
5456,-10.02638689888143,56,D2A
5457,-10.082681183216216,57,D2A
5458,-10.088127141279832,58,D2A
5459,-10.113897744800626,59,D2A
5460,-10.245022044595519,60,D2A
5461,-10.25391217724899,61,D2A
5462,-10.255844405932615,62,D2A
5463,-10.259002767385727,63,D2A
5464,-10.281220753506407,64,D2A
5465,-10.29035844778344,65,D2A
5466,-10.290890031233948,66,D2A
5467,-10.306948418433452,67,D2A
5468,-10.310945841847431,68,D2A
5469,-10.311215757966673,69,D2A
5470,-10.320048839089395,70,D2A
5471,-10.324034948924256,71,D2A
5472,-10.351486008606363,72,D2A
5473,-10.367225099852051,73,D2A
5474,-10.371578854678917,74,D2A
5475,-10.372903188231186,75,D2A
5476,-10.448929076258219,76,D2A
5477,-10.490645828632461,77,D2A
5478,-10.495200328215725,78,D2A
5479,-10.50310578974701,79,D2A
5480,-10.528191133674044,80,D2A
5481,-10.533752631732353,81,D2A
5482,-10.539303400338508,82,D2A
5483,-10.553904112320257,83,D2A
5484,-10.566430872698225,84,D2A
5485,-10.575112384128328,85,D2A
5486,-10.580903060354572,86,D2A
5487,-10.58414233556189,87,D2A
5488,-10.662925182616009,88,D2A
5489,-10.677786854653244,89,D2A
5490,-10.7161842426576,90,D2A
5491,-10.721722818910267,91,D2A
5492,-10.767290487839821,92,D2A
5493,-10.813358415229258,93,D2A
5494,-10.851835516912644,94,D2A
5495,-10.857023022834284,95,D2A
5496,-10.87288638090414,96,D2A
5497,-10.875581636443556,97,D2A
5498,-10.91035646092311,98,D2A
5499,-11.033203008768707,99,D2A
5500,-1.706648290548187,0,SUM
