,treatment,score,dimention
407,LD6,0.3541290234226302,67
408,SKF,-0.12316371982477636,0
409,SKF,0.2518900278092918,1
410,SKF,0.4237968967948492,2
411,SKF,0.4070221192520018,3
412,SKF,0.4170762616570388,4
413,SKF,0.35814380704828863,5
414,SKF,0.3182340239988979,6
415,SKF,0.30442274166231664,7
416,SKF,0.29719875662846273,8
417,SKF,0.29403777497533523,9
418,SKF,0.28894902226814245,10
419,SKF,0.29263696047890564,11
420,SKF,0.2926245248200675,12
421,SKF,0.29700455010689675,13
422,SKF,0.29757715669674034,14
423,SKF,0.28919453585852706,15
424,SKF,0.286112326192804,16
425,SKF,0.2837946719211548,17
426,SKF,0.2800474536456966,18
427,SKF,0.27210976463819136,19
428,SKF,0.2717276585156815,20
429,SKF,0.2696529619351168,21
430,SKF,0.26984816240097387,22
431,SKF,0.2706929415139975,23
432,SKF,0.2673263875446099,24
433,SKF,0.2642643076325172,25
434,SKF,0.26256167018340026,26
435,SKF,0.25959400912665354,27
436,SKF,0.25699321334647307,28
437,SKF,0.25555030024360303,29
438,SKF,0.25392796447198185,30
439,SKF,0.2511527698272822,31
440,SKF,0.24901375110738488,32
441,SKF,0.249487794037209,33
442,SKF,0.24762692763310357,34
443,SKF,0.24428949879993478,35
444,SKF,0.24363888810546208,36
445,SKF,0.2416686038010828,37
446,SKF,0.238897157602736,38
447,SKF,0.2374300526897548,39
448,SKF,0.23720930325640477,40
449,SKF,0.23602348508184567,41
450,SKF,0.2359478705363326,42
451,SKF,0.2343605311068292,43
452,SKF,0.23370635729305433,44
453,SKF,0.23286482037927925,45
454,SKF,0.23224502559802396,46
455,SKF,0.23159307470316215,47
456,SKF,0.2308432383542618,48
457,SKF,0.23079056444407386,49
458,SKF,0.2298273859157559,50
459,SKF,0.22829666263152593,51
460,SKF,0.22815465075862795,52
461,SKF,0.22723442068238953,53
462,SKF,0.2255830367460684,54
463,SKF,0.22494120264325146,55
464,SKF,0.22254327388795547,56
465,SKF,0.2196198181615222,57
466,SKF,0.2179302341098306,58
467,SKF,0.2155986644903196,59
468,SKF,0.2151338363806904,60
469,SKF,0.2137076726235999,61
470,SKF,0.21209713311343514,62
471,SKF,0.2094367284324048,63
472,SKF,0.20902160623088806,64
473,SKF,0.20791481354173746,65
474,SKF,0.20732031766695902,66
475,SKF,0.2068059569176689,67
476,LD6,,0
477,LD6,0.2456959682655968,1
478,LD6,0.33770142690181637,2
479,LD6,0.28119901827501537,3
480,LD6,0.2482485667134534,4
481,LD6,0.22785063776821912,5
482,LD6,0.21995178833421292,6
483,LD6,0.21273532766290792,7
484,LD6,0.1816966392340872,8
485,LD6,0.12894531142508348,9
486,LD6,0.13166174326860125,10
487,LD6,0.10327316484433258,11
488,LD6,0.08363126857696357,12
489,LD6,0.0987922901353866,13
490,LD6,0.10102164528161461,14
491,LD6,0.09645994818426207,15
492,LD6,0.09308742961634053,16
493,LD6,0.08618155937515948,17
494,LD6,0.07470470357927339,18
495,LD6,0.06601808568654333,19
496,LD6,0.06524991895090648,20
497,LD6,0.056417258089600186,21
498,LD6,0.07443537451878546,22
499,LD6,0.07474563326081929,23
500,LD6,0.07697473748054662,24
501,LD6,0.07231170039349011,25
502,LD6,0.07124347207360193,26
503,LD6,0.07314319191023666,27
504,LD6,0.07475920655464319,28
505,LD6,0.07745863992202329,29
506,LD6,0.08119377650969861,30
507,LD6,0.08806737838886847,31
508,LD6,0.09185155227077191,32
509,LD6,0.09286213440216773,33
510,LD6,0.09307774552084169,34
511,LD6,0.09684794875357838,35
512,LD6,0.09852777599472895,36
513,LD6,0.0960751997434881,37
514,LD6,0.09551276867407155,38
515,LD6,0.09702615229318878,39
516,LD6,0.09965253156853371,40
517,LD6,0.09935064462966314,41
518,LD6,0.09983800432705714,42
519,LD6,0.10019156260895701,43
520,LD6,0.10188812729300267,44
521,LD6,0.10029786144589092,45
522,LD6,0.09958015545543808,46
523,LD6,0.10170780699538062,47
524,LD6,0.10440191883784689,48
525,LD6,0.10510700956790386,49
526,LD6,0.10881618497159384,50
527,LD6,0.10697957723745888,51
528,LD6,0.10585755582515854,52
529,LD6,0.10606890051353368,53
530,LD6,0.10398981676115626,54
531,LD6,0.10437253028229487,55
