,log_lyp,lyp,dim,treatment,animal
300,0.7403249996484399,2.096616803503075,3,SKF,1630
301,-0.7390325281487723,0.4775757331658941,5,SKF,1630
302,-1.6232376669971769,0.19725900511363345,7,SKF,1630
303,-2.72520370747045,0.06553285182675536,9,SKF,1630
304,-3.456965386340429,0.03152528406645744,11,SKF,1630
305,-3.5717921370202568,0.02810543972043771,13,SKF,1630
306,-3.5461644860427888,0.028835024967429138,15,SKF,1630
307,-3.6036858298192858,0.02722319722955077,17,SKF,1630
308,-3.596055400490995,0.027431716445948415,19,SKF,1630
309,-3.5588702515420003,0.028470971588074108,21,SKF,1630
310,-3.5844693003805688,0.027751391375733604,23,SKF,1630
311,-3.56702490404292,0.02823974477690563,25,SKF,1630
312,-3.578114976847737,0.027928294148507775,27,SKF,1630
313,-3.5935874163164443,0.027499501099337634,29,SKF,1630
314,-3.5850901604655436,0.027734166992045343,31,SKF,1630
315,2.032322761778713,7.631792623310448,3,LD6,2930
316,0.1012355771265253,1.1065372859355294,5,LD6,2930
317,-0.9862989891525694,0.37295444836094876,7,LD6,2930
318,-1.3286968160630137,0.26482214849536484,9,LD6,2930
319,-1.71828377620351,0.17937372935948845,11,LD6,2930
320,-1.7444643763947874,0.17473855800208857,13,LD6,2930
321,-1.7775809383185124,0.16904658717016988,15,LD6,2930
322,-1.756586385977398,0.17263316212310198,17,LD6,2930
323,-1.8379918775989124,0.1591366713724725,19,LD6,2930
324,-1.8383460121388286,0.1590803255581606,21,LD6,2930
325,-1.8519592900257043,0.15692939470737508,23,LD6,2930
326,-1.8646004863592192,0.15495810539688873,25,LD6,2930
327,-1.8715847930777776,0.15387960114667532,27,LD6,2930
328,-1.8652113039154665,0.15486348316703102,29,LD6,2930
329,-1.8630067716520111,0.15520526130414988,31,LD6,2930
330,1.641219780799164,5.161461525680596,3,D1A,2830
331,-1.0826000506626874,0.3387137069568497,5,D1A,2830
332,-2.2792521716375647,0.1023607263545606,7,D1A,2830
333,-2.550354262707172,0.07805400947790173,9,D1A,2830
334,-3.438748151275492,0.03210485059846625,11,D1A,2830
335,-3.9311245712892084,0.019621594259531815,13,D1A,2830
336,-3.9047776216899077,0.020145433900755273,15,D1A,2830
337,-4.034948557699992,0.01768658992864297,17,D1A,2830
338,-4.08770330596427,0.016777722638358764,19,D1A,2830
339,-4.053759886937997,0.017356991474337342,21,D1A,2830
340,-4.076131783039175,0.016972994055438076,23,D1A,2830
341,-4.0759331172386775,0.016976366343857036,25,D1A,2830
342,-4.108564337760714,0.016431347465951537,27,D1A,2830
343,-4.032696614498981,0.017726464004808262,29,D1A,2830
344,-4.046440575001344,0.017484498772827727,31,D1A,2830
345,2.5522112749675614,12.83545514544144,3,D2K,4353
346,0.13474193226577807,1.1442414544458421,5,D2K,4353
347,-0.9148004293473837,0.40059656543177935,7,D2K,4353
348,-1.3268771878892476,0.2653044650230945,9,D2K,4353
349,-1.8255461806796804,0.16112961420963867,11,D2K,4353
350,-1.8255885390279083,0.16112278916987988,13,D2K,4353
351,-1.8888676813638,0.15124296714550484,15,D2K,4353
352,-1.9254614760674258,0.14580845421609387,17,D2K,4353
353,-1.9565636715330106,0.14134328932910314,19,D2K,4353
354,-1.9698608066740206,0.1394762690297339,21,D2K,4353
355,-1.9622800800510107,0.14053761831228176,23,D2K,4353
356,-1.9471666733961697,0.1426777521079018,25,D2K,4353
357,-2.003225155963714,0.13489950893854954,27,D2K,4353
358,-2.016078846805386,0.1331766486332954,29,D2K,4353
359,-2.005600063598821,0.13457951519299594,31,D2K,4353
360,1.2538766550906337,3.5039000744106215,3,LID,2130
361,-0.9884982332031484,0.3721351317780448,5,LID,2130
362,-1.6312539725864503,0.1956840377921701,7,LID,2130
363,-2.0262168236054063,0.13183332764302869,9,LID,2130
364,-3.2388279555388166,0.03920982383531907,11,LID,2130
365,-3.3568948757557893,0.034843283868024766,13,LID,2130
366,-3.7936400173871228,0.02251350297882154,15,LID,2130
367,-3.8095276355677505,0.022158643440346,17,LID,2130
368,-4.035670646317491,0.01767382325326334,19,LID,2130
369,-4.108935642139054,0.016425247567225035,21,LID,2130
370,-4.133035706499957,0.016034129953874647,23,LID,2130
371,-3.9969534704164733,0.018371523107689677,25,LID,2130
372,-4.0148870855203445,0.01804499197660003,27,LID,2130
373,-3.9633383915966327,0.01899958026079862,29,LID,2130
374,-3.9227979581213406,0.01978565778350743,31,LID,2130
375,0.5490706220436224,1.7316429190308402,3,SUM,1130
376,-1.1263217357006567,0.3242236460585752,5,SUM,1130
377,-1.5978759396425957,0.20232581414889506,7,SUM,1130
378,-2.21313988119174,0.10935674170831756,9,SUM,1130
379,-2.6917445119820367,0.06776262349141705,11,SUM,1130
380,-2.737451709240029,0.06473510074272439,13,SUM,1130
381,-2.857827069273014,0.05739333661321461,15,SUM,1130
382,-2.8821719794473624,0.05601297159488881,17,SUM,1130
383,-2.868811277188537,0.05676636596268289,19,SUM,1130
384,-2.881807407919214,0.0560333960524009,21,SUM,1130
385,-2.870652165726388,0.056661961538185326,23,SUM,1130
386,-2.852171964340383,0.05771882141211976,25,SUM,1130
387,-2.902307441524995,0.05489640356070153,27,SUM,1130
388,-2.84361051135959,0.058215099788371166,29,SUM,1130
389,-2.850732235531312,0.05780198071118718,31,SUM,1130
390,1.7103855521845497,5.531093591794219,3,LES,S067
391,-1.1514863287573536,0.3161664926226,5,LES,S067
392,-1.81528437623326,0.1627916077428909,7,LES,S067
393,-2.883450485873902,0.05594140441003655,9,LES,S067
394,-3.886550651552279,0.020515990929936587,11,LES,S067
395,-4.03169003570253,0.017744316070859818,13,LES,S067
396,-4.147831849525073,0.015798633192023993,15,LES,S067
397,-3.9632114848255444,0.01900199158918527,17,LES,S067
398,-4.113948236081614,0.016343120477601523,19,LES,S067
399,-4.163275318124103,0.015556521827998077,21,LES,S067
400,-4.115736759277772,0.0163139165512644,23,LES,S067
401,-4.119536418261902,0.016252046847997484,25,LES,S067
402,-4.123952779260271,0.01618043020103989,27,LES,S067
403,-4.120850169702875,0.01623070971694439,29,LES,S067
404,-4.073437875249562,0.01701877937936827,31,LES,S067
405,1.588585045363757,4.896815252620632,3,SHM,4010
406,0.34332871270354265,1.4096320497400547,5,SHM,4010
407,-0.4601697902827105,0.6311764687773259,7,SHM,4010
408,-1.5068475606805485,0.22160748210205672,9,SHM,4010
409,-2.4859115787469626,0.0832496313177536,11,SHM,4010
410,-2.7356566572899523,0.06485140796907721,13,SHM,4010
411,-2.835644154252489,0.05868071422531819,15,SHM,4010
412,-2.9810114011213464,0.050741487905828414,17,SHM,4010
413,-2.968583962994313,0.051376009177843684,19,SHM,4010
414,-2.9865562380633928,0.050460913218499874,21,SHM,4010
415,-3.0078936359750927,0.04939561440405256,23,SHM,4010
416,-3.025982468734632,0.048510138156210074,25,SHM,4010
417,-3.013904790762098,0.04909958036469383,27,SHM,4010
418,-3.0071952575288163,0.04943012328521976,29,SHM,4010
419,-2.981246942266925,0.05072953760508774,31,SHM,4010
420,2.603693000091785,13.51355154483484,3,D2K,4333
421,0.140929313931222,1.1513432611793746,5,D2K,4333
422,-0.9572629088021842,0.38394233428571106,7,D2K,4333
423,-1.570076290210544,0.20802931115167228,9,D2K,4333
424,-2.2508726934801735,0.10530728346980482,11,D2K,4333
425,-2.5145366986838993,0.08090038478022882,13,D2K,4333
426,-2.239446575239626,0.10651743745753688,15,D2K,4333
427,-2.5074117674321235,0.08147885278527225,17,D2K,4333
428,-2.577235305217881,0.07598378587415963,19,D2K,4333
429,-2.6598349547361844,0.06995976732011172,21,D2K,4333
430,-2.6836271438014743,0.06831491620420371,23,D2K,4333
431,-2.635882382299521,0.0716557137713763,25,D2K,4333
432,-2.67479725768527,0.06892080014083625,27,D2K,4333
433,-2.70320576460547,0.06699041265005724,29,D2K,4333
434,-2.7090369023908636,0.06660091902273313,31,D2K,4333
435,0.6137950762662525,1.8474292465869462,3,LES,0901
436,-1.5262093028109753,0.2173580461712766,5,LES,0901
437,-1.983791754256004,0.1375467039777467,7,LES,0901
438,-3.072107849206581,0.04632340911582899,9,LES,0901
439,-3.7318353937405804,0.023948839923258428,11,LES,0901
440,-3.7933587170265937,0.022519836926155324,13,LES,0901
441,-3.7939298200473783,0.02250697945108011,15,LES,0901
