,size,treatment,animal,dimension,Embedding
6428,-12.461763207802889,LES,S0,57,body
6429,-13.953398938881069,LES,S0,58,body
6430,-15.706128135241455,LES,S0,59,body
6431,1.1030619274413498,LES,S0,1,head
6432,-1.0896081980502577,LES,S0,2,head
6433,-1.8344298600690048,LES,S0,3,head
6434,-2.3146210666524567,LES,S0,4,head
6435,-2.515293649746901,LES,S0,5,head
6436,-3.960557123406967,LES,S0,6,head
6437,-4.517369180083579,LES,S0,7,head
6438,-3.835738095209523,LES,S0,8,head
6439,-3.6016388102283963,LES,S0,9,head
6440,-6.2754301985951155,LES,S0,10,head
6441,-6.858679877599642,LES,S0,11,head
6442,-8.160241190470897,LES,S0,12,head
6443,-8.232802984966185,LES,S0,13,head
6444,-8.73962492636118,LES,S0,14,head
6445,-11.07021954932552,LES,S0,15,head
6446,-12.31526662254429,LES,S0,16,head
6447,-9.3456585568101,LES,S0,17,head
6448,-10.868944551674526,LES,S0,18,head
6449,-10.562802799812507,LES,S0,19,head
6450,-10.209835848803575,LES,S0,20,head
6451,-9.882827365970645,LES,S0,21,head
6452,-10.934396714342952,LES,S0,22,head
6453,-13.62730002428857,LES,S0,23,head
6454,-13.170559545791706,LES,S0,24,head
6455,-11.572839533564105,LES,S0,25,head
6456,-13.135473577965707,LES,S0,26,head
6457,-10.856456301544885,LES,S0,27,head
6458,-11.461655296955943,LES,S0,28,head
6459,-10.616750861144494,LES,S0,29,head
6460,-12.328860248678906,LES,S0,30,head
6461,-12.007631032611597,LES,S0,31,head
6462,-11.216251649658728,LES,S0,32,head
6463,-12.664181058117522,LES,S0,33,head
6464,-11.87270465477012,LES,S0,34,head
6465,-12.408929811067178,LES,S0,35,head
6466,-11.44187301888978,LES,S0,36,head
6467,-16.14864798642484,LES,S0,37,head
6468,-15.498429308930152,LES,S0,38,head
6469,-12.559663294082632,LES,S0,39,head
6470,-14.21985291035035,LES,S0,40,head
6471,-15.204122020424997,LES,S0,41,head
6472,-14.639328198391823,LES,S0,42,head
6473,-12.705374888318612,LES,S0,43,head
6474,-13.139711833880273,LES,S0,44,head
6475,-14.503332946340597,LES,S0,45,head
6476,-15.699371199931038,LES,S0,46,head
6477,-17.21764932446632,LES,S0,47,head
6478,-12.919831558973678,LES,S0,48,head
6479,-11.857645396395677,LES,S0,49,head
6480,-13.676184363009162,LES,S0,50,head
6481,-14.733509438283631,LES,S0,51,head
6482,-15.536423579183966,LES,S0,52,head
6483,-12.849867584722443,LES,S0,53,head
6484,-14.468799698867358,LES,S0,54,head
6485,-12.62664211493885,LES,S0,55,head
6486,-16.758256698912074,LES,S0,56,head
6487,-16.057086206201173,LES,S0,57,head
6488,-11.795553856985022,LES,S0,58,head
6489,-15.028743868500452,LES,S0,59,head
6490,6.486162464228258,LES,S0,1,6-Dimensional
6491,4.846339754541175,LES,S0,2,6-Dimensional
6492,3.5036257692403563,LES,S0,3,6-Dimensional
6493,1.8734335863717324,LES,S0,4,6-Dimensional
6494,-0.11687119305428255,LES,S0,5,6-Dimensional
6495,-1.2288685035678555,LES,S0,6,6-Dimensional
6496,-0.04414172851908529,LES,S0,7,6-Dimensional
6497,-1.1933859299592122,LES,S0,8,6-Dimensional
6498,-2.1472448713356544,LES,S0,9,6-Dimensional
6499,-1.1382582280166444,LES,S0,10,6-Dimensional
6500,-3.727432494200022,LES,S0,11,6-Dimensional
6501,-3.074250745056045,LES,S0,12,6-Dimensional
6502,-3.1923488647779017,LES,S0,13,6-Dimensional
6503,-2.2015085499562477,LES,S0,14,6-Dimensional
6504,-3.182070989002463,LES,S0,15,6-Dimensional
6505,-3.149228765156658,LES,S0,16,6-Dimensional
6506,-5.74977111579666,LES,S0,17,6-Dimensional
6507,-5.276276529505232,LES,S0,18,6-Dimensional
6508,-5.812037753751333,LES,S0,19,6-Dimensional
6509,-4.786115643825523,LES,S0,20,6-Dimensional
6510,-6.043327684681901,LES,S0,21,6-Dimensional
6511,-7.148102689212338,LES,S0,22,6-Dimensional
6512,-6.586927764841908,LES,S0,23,6-Dimensional
6513,-9.25566562116646,LES,S0,24,6-Dimensional
6514,-7.870437479503285,LES,S0,25,6-Dimensional
6515,-8.51627146407639,LES,S0,26,6-Dimensional
6516,-9.03178773222476,LES,S0,27,6-Dimensional
6517,-9.472625636736014,LES,S0,28,6-Dimensional
6518,-7.790931588869859,LES,S0,29,6-Dimensional
6519,-11.016506167782708,LES,S0,30,6-Dimensional
6520,-9.36277243946591,LES,S0,31,6-Dimensional
6521,-13.198913513674356,LES,S0,32,6-Dimensional
6522,-14.062765513190516,LES,S0,33,6-Dimensional
6523,-8.847336488493895,LES,S0,34,6-Dimensional
6524,-9.986633565851667,LES,S0,35,6-Dimensional
6525,-10.511047216813747,LES,S0,36,6-Dimensional
6526,-10.3637146600132,LES,S0,37,6-Dimensional
6527,-12.356091432842689,LES,S0,38,6-Dimensional
6528,-10.8804089359205,LES,S0,39,6-Dimensional
6529,-13.440864292617203,LES,S0,40,6-Dimensional
6530,-15.549767729772178,LES,S0,41,6-Dimensional
6531,-15.344042329677105,LES,S0,42,6-Dimensional
6532,-14.329143333394084,LES,S0,43,6-Dimensional
6533,-12.269442164778864,LES,S0,44,6-Dimensional
6534,-16.766823969808435,LES,S0,45,6-Dimensional
6535,-14.392327287076341,LES,S0,46,6-Dimensional
6536,-10.475937956264884,LES,S0,47,6-Dimensional
6537,-12.183968561738075,LES,S0,48,6-Dimensional
6538,-12.338310572125733,LES,S0,49,6-Dimensional
6539,-12.192825045210514,LES,S0,50,6-Dimensional
6540,-16.010850222582587,LES,S0,51,6-Dimensional
6541,-14.044522058536252,LES,S0,52,6-Dimensional
6542,-13.879848044302046,LES,S0,53,6-Dimensional
6543,-13.990933570938608,LES,S0,54,6-Dimensional
6544,-11.631891963432095,LES,S0,55,6-Dimensional
6545,-14.411012023616001,LES,S0,56,6-Dimensional
6546,-13.807058769324527,LES,S0,57,6-Dimensional
6547,-12.393513722004425,LES,S0,58,6-Dimensional
6548,-15.264295797866755,LES,S0,59,6-Dimensional
6549,1.8612804042107485,LES,S0,1,body
6550,0.49996713077428884,LES,S0,2,body
6551,0.20128437785339243,LES,S0,3,body
6552,-0.34036583075150056,LES,S0,4,body
6553,-0.22294674401869943,LES,S0,5,body
6554,-0.21199906504869848,LES,S0,6,body
6555,-0.81411083263581,LES,S0,7,body
6556,-1.2023649977132258,LES,S0,8,body
6557,-1.5017606663120124,LES,S0,9,body
6558,-2.1844093742570916,LES,S0,10,body
6559,-2.9353625029041215,LES,S0,11,body
6560,-3.5098608271693275,LES,S0,12,body
6561,-3.6386082808730063,LES,S0,13,body
6562,-4.173159302412945,LES,S0,14,body
6563,-4.283440910733024,LES,S0,15,body
